음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
화이트 딸기 크림 프라푸치노,355,360,0,54,0,4,0,0,170,0,0,0,0,0,0,스타벅스
화이트 타이거 프라푸치노,355,410,0,57,0,5,0,0,220,0,0,0,0,0,0,스타벅스
망고 패션 후르츠 블렌디드,355,120,0,25,0,1,0,0,70,0,0,0,0,0,0,스타벅스
디카페인 아포가토 블렌디드,355,495,0,46,0,10,0,0,290,0,0,0,0,0,0,스타벅스
딸기 요거트 블렌디드,355,250,0,48,0,8,0,0,128.4,0,0,0,0,0,0,스타벅스
망고 바나나 블렌디드,355,270,0,48,0,4,0,0,110,0,0,0,0,0,0,스타벅스
익스트림 티 블렌디드,355,200,0,45,0,0,0,0,5,0,0,0,0,0,0,스타벅스
자몽 셔벗 블렌디드,355,225,0,51,0,1,0,0,15,0,0,0,0,0,0,스타벅스
매직 팝 스플래쉬 피지오,355,320,0,60,0,1,0,0,10,0,0,0,0,0,0,스타벅스
블랙 티 레모네이드 피지오,355,65,0,17,0,0,0,0,0.2,0,0,0,0,0,0,스타벅스
쿨 라임 피지오,355,100,0,25,0,0,0,0,0,0,0,0,0,0,0,스타벅스
패션 탱고 티 레모네이드 피지오,355,65,0,17,0,0,0,0,0.2,0,0,0,0,0,0,스타벅스
핑크 자몽 피지오,355,185,0,43,0,1,0,0,20,0,0,0,0,0,0,스타벅스
아이스 제주 유자 탱고 티,355,125,0,28,0,0,0,0,15,0,0,0,0,0,0,스타벅스
제주 유자 탱고 티,355,205,0,48,0,0,0,0,30,0,0,0,0,0,0,스타벅스
그랜마 애플 블랙 티,355,200,0,30,0,1,0,0,5,0,0,0,0,0,0,스타벅스
라임 패션 티,355,140,0,35,0,0,0,0,25,0,0,0,0,0,0,스타벅스
민트 블렌드 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
아이스 그랜마 애플 블랙 티,355,230,0,38,0,1,0,0,5,0,0,0,0,0,0,스타벅스
아이스 라임 패션 티,355,90,0,22,0,0,0,0,15,0,0,0,0,0,0,스타벅스
아이스 민트 블렌드 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
아이스 얼 그레이 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
아이스 유스베리 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
